row_type,uuid,context,requirements,title,description,on_enter,results,interruptions,provider,template
row_type,uuid,context,requirements,title,description,on_enter,results,interruptions,provider,templa
random_event,test1,trigger_tags=[actor:status:temporary:drunk/city:econ:level:prosperous/action:intent:study:poetry]|weight=15.5|background=bg_rural_poor,prop_gt(name=money;val=50)|trait_has(name=official),EVT_TEST1_TITLE,EVT_TEST1_DESC,,,,,
>option,test1_give_money,,prop_gt(name=money;val=100),,,,trait_add(name=corrupt),,,
random_event,strange_poet,trigger_tags=[test1:test1:test1:test1],,EVT_STRANGE_POET_TITLE,EVT_STRANGE_POET_DESC,,,,,
>option,strange_poet_opt,,,,EVT_STRANGE_POET_OPT_DESC,,flag_bool_set(name=chain_strange_poet_1;val=true),,,
random_event,the_man_got_power,trigger_tags=[test1:test1:test1:test1],flag_bool_has(name=chain_strange_poet_1),EVT_THE_MAN_GOT_POWER_TITLE,EVT_THE_MAN_GOT_POWER_DESC,,,,,
>option,the_man_got_power_opt,,,,EVT_THE_MAN_GOT_POWER_OPT_DESC,,flag_bool_replace(from=chain_strange_poet_1;to=chain_strange_poet_2),,,
random_event,libai_unveilation,trigger_tags=[test1:test1:test1:test1],flag_bool_has(name=chain_strange_poet_2),EVT_LIBAI_UNVEILATION_TITLE,EVT_LIBAI_UNVEILATION_DESC,,,,,
>option,libai_unveilation_opt,,,,EVT_LIBAI_UNVEILATION_OPT_DESC,,flag_bool_replace(from=chain_strange_poet_2;to=chain_strange_poet_3),,,
random_event,libai_after,trigger_tags=[test1:test1:test1:test1],flag_bool_has(name=chain_strange_poet_3),EVT_LIBAI_AFTER_TITLE,EVT_LIBAI_AFTER_DESC,,,,,
>option,libai_after_opt,,,,EVT_LIBAI_AFTER_OPT_DESC,,flag_bool_replace(from=chain_strange_poet_3;to=chain_strange_poet_1),,,
random_event,jiaoyou_poem_public,,,EVT_JIAOYOU_POEM_PUBLIC_TITLE,,,,,,
>option,jiaoyou_poem_public_opt,poem_taste: urn:poem_taste:zhuoliu_basic_taste,,,,,,,,urn:event_option:poem_giving_option
random_event,libai_welcome_hejiu,weight=0,,EVT_LIBAI_WELCOME_HEJIU_TITLE,,,,,,
>option,libai_hejiu_1,,flag_int_gt(name=flag_relation_with_libai;val=10),EVT_LIBAI_HEJIU_1_TITLE,EVT_LIBAI_HEJIU_1_DESC,,,,,
>option,libai_hejiu_2,,flag_int_gt(name=flag_relation_with_libai;val=15),EVT_LIBAI_HEJIU_2_TITLE,EVT_LIBAI_HEJIU_2_DESC,,,,,
random_event,drink_with_libai,,,EVT_DRINK_WITH_LIBAI_TITLE,EVT_DRINK_WITH_LIBAI_DESC,,,,,
