# B13: Tutorial 2 — 2688-2795 — 108 lines
# GLOBAL: preserve {param} {@keyword} %%d %%s [glitch] [br] [color] BBCode emoji
# FORMAT: append |en_text at end of each line
# key	zh	en
TRES_YOUXIANGFU_OUTER_WALL_DESCRIPTION_2	拐过街角，一面高耸得仿佛没有尽头的青砖坊墙将天光生生截断。几十个穿着旧青袍或麻布衣的士子，像冻僵的鹌鹑一样贴着墙根瑟缩排开，没人敢出声，连咳嗽都被死死捂在袖子里。你走到队伍最末端站定。抬头望去，三丈高的朱漆大门紧紧闭合，两尊巨大的石狮子在阴影中俯视着阶下的蝼蚁。一阵穿堂冷风卷过，门上磨盘大小的兽面衔环发出一声沉闷的金属撞击音，墙根下的几十颗脑袋同时条件反射般地瑟缩了一下。你呼出的白气，在这堵绝对寂静的高墙前，瞬间便被吹得粉碎。	Round the corner, and a soaring blue-brick compound wall—seemingly without end—shears the daylight in two. Dozens of scholars in faded green robes or coarse hemp garments huddle against the wall's base like frozen quails, shoulder to shoulder, none daring to make a sound; even coughs are smothered dead in their sleeves. You walk to the very end of the line and stop. Looking up, the three-zhang vermilion gates are shut tight. Two colossal stone lions glower down from the shadows at the ants beneath the steps. A draft of cold corridor wind sweeps through, and the millstone-sized beast-head knocker on the gate lets out a dull metallic clang. Dozens of heads along the wall base flinch in unison, a reflexive shudder. The white mist of your breath, before this wall of absolute silence, is instantly blown to nothing.
TRES_YOUXIANGFU_OUTER_WALL_NAME_0	相府青门外	Outside the Chancellor's Azure Gate
TRES_YOUXIANGFU_WAY_DESCRIPTION_0	继续前行	Continue onward.
TRES_YOUXIANGFU_WAY_DESCRIPTION_1	长安平康坊以南，右相府邸的坊墙连绵如铁。你沿街疾走，晨霜早已湿透了麻鞋。越靠近那两扇高耸的朱漆大门，周围的喧闹声便越是被一种死寂的威压吞没。你的手死死攥着袖口中那卷拜帖，骨节因过度用力而惨白。抬起头，相府门楼上的琉璃兽脊仿佛要刺破厚重的云层，你死死盯着那高不可攀的门槛，喉结艰难地滚动了一下，连呼吸都忘了吐出。	South of Pingkang Ward in Chang'an, the Right Chancellor's compound wall stretches unbroken like iron. You hurry along the street, morning frost long since soaking through your hemp shoes. The closer you draw to those towering vermilion gates, the more the surrounding clamor is swallowed by a deathly, oppressive silence. Your hand clutches the visiting card inside your sleeve, knuckles bone-white from the grip. Looking up, the glazed beast-ridge tiles atop the mansion gate tower seem ready to pierce the thick cloud layer. You stare fixedly at that unreachable threshold, your Adam's apple bobbing with difficulty, forgetting even to exhale.
TRES_YOUXIANGFU_WAY_NAME_0	相府路上	On the Road to the Chancellor's Mansion
TRES_ZHENGQIAN_POEM_EXCHANGE_DESCRIPTION_0	向郑虔展示诗作换取灵感与文名	Show Zheng Qian your poems in exchange for inspiration and literary renown.
TRES_ZHENGQIAN_POEM_EXCHANGE_FALLBACK_DESCRIPTION_0	郑虔见你登门，欣然与你论诗谈文。你将从平康坊郑虔处所得的感悟融入诗稿，文思略有进益。	Zheng Qian sees you at his door and gladly discusses poetry and prose with you. You incorporate the insights gained from Zheng Qian at Pingkang Ward into your drafts; your literary thoughts show modest progress.
TRES_ZHENGQIAN_POEM_EXCHANGE_FALLBACK_NAME_0	郑虔 · 以诗换兴望	Zheng Qian · Trading Poems for Inspiration and Fame
TRES_ZHENGQIAN_POEM_EXCHANGE_NAME_0	郑虔 · 以诗换兴望	Zheng Qian · Trading Poems for Inspiration and Fame
TRES_ZHUOLIU_BASIC_TASTE_INFO_0	“尚才相戏尔！”	"Mere jesting among talents!"
