trait_id,trait_name,topic,specific_topic,relate_to,lasting_xun,trait_effect_operations,trait_endogenous_operations,display_char
relation_lilinfu_rumor,听闻李灵甫,RELATION,HEARD,lilinfu,,,
relation_lilinfu_close,关系好李灵甫,RELATION,GOOD,lilinfu,,,
relation_lilinfu_core,核心李灵甫,RELATION,CORE,lilinfu,,,
relation_lilinfu_enemy,干掉李灵甫,RELATION,HATE,lilinfu,,,
relation_hushang_rumor,听闻商人,RELATION,HEARD,hushang,,,
relation_hushang_close,关系好商人,RELATION,GOOD,hushang,,,
relation_hushang_core,核心商人,RELATION,CORE,hushang,,,
relation_hushang_enemy,干掉商人,RELATION,HATE,hushang,,,
relation_jiwen_rumor,听闻吉温,RELATION,HEARD,jiwen,,,
relation_jiwen_close,关系好吉温,RELATION,GOOD,jiwen,,,
relation_jiwen_core,核心吉温,RELATION,CORE,jiwen,,,
relation_jiwen_enemy,干掉吉温,RELATION,HATE,jiwen,,,
relation_youxiangfu_rumor,听闻右相府,RELATION,HEARD,youxiangfu,,,
relation_youxiangfu_close,关系好右相府,RELATION,GOOD,youxiangfu,,,
relation_youxiangfu_core,核心右相府,RELATION,CORE,youxiangfu,,,
relation_youxiangfu_enemy,干掉右相府,RELATION,HATE,youxiangfu,,,
relation_qingliu_rumor,听闻清流,RELATION,HEARD,qingliu,,,
relation_qingliu_close,关系好清流,RELATION,GOOD,qingliu,,,
relation_qingliu_core,核心清流,RELATION,CORE,qingliu,,,
relation_qingliu_enemy,干掉清流,RELATION,HATE,qingliu,,,
relation_gaoshi_rumor,听闻高适,RELATION,HEARD,gaoshi,,,
relation_gaoshi_close,关系好高适,RELATION,GOOD,gaoshi,,,
relation_gaoshi_core,核心高适,RELATION,CORE,gaoshi,,,
relation_gaoshi_enemy,干掉高适,RELATION,HATE,gaoshi,,,
relation_wangwei_rumor,听闻王维,RELATION,HEARD,wangwei,,,
relation_wangwei_close,关系好王维,RELATION,GOOD,wangwei,,,
relation_wangwei_core,核心王维,RELATION,CORE,wangwei,,,
relation_wangwei_enemy,干掉王维,RELATION,HATE,wangwei,,,
relation_zhengqian_rumor,听闻郑虔,RELATION,HEARD,zhengqian,,,
relation_zhengqian_close,关系好郑虔,RELATION,GOOD,zhengqian,,,
relation_zhengqian_core,核心郑虔,RELATION,CORE,zhengqian,,,
relation_zhengqian_enemy,干掉郑虔,RELATION,HATE,zhengqian,,,
relation_waiqi_rumor,听闻外戚,RELATION,HEARD,waiqi,,,
relation_waiqi_close,关系好外戚,RELATION,GOOD,waiqi,,,
relation_waiqi_core,核心外戚,RELATION,CORE,waiqi,,,
relation_waiqi_enemy,干掉外戚,RELATION,HATE,waiqi,,,
relation_yangguozhong_rumor,听闻杨国忠,RELATION,HEARD,yangguozhong,,,
relation_yangguozhong_close,关系好杨国忠,RELATION,GOOD,yangguozhong,,,
relation_yangguozhong_core,核心杨国忠,RELATION,CORE,yangguozhong,,,
relation_yangguozhong_enemy,干掉杨国忠,RELATION,HATE,yangguozhong,,,
relation_guoguofuren_rumor,听闻虢国夫人,RELATION,HEARD,guoguofuren,,,
relation_guoguofuren_close,关系好虢国夫人,RELATION,GOOD,guoguofuren,,,
relation_guoguofuren_core,核心虢国夫人,RELATION,CORE,guoguofuren,,,
relation_guoguofuren_enemy,干掉虢国夫人,RELATION,HATE,guoguofuren,,,
relation_libai_rumor,听闻李白,RELATION,HEARD,libai,,,
relation_libai_close,关系好李白,RELATION,GOOD,libai,,,
relation_libai_core,核心李白,RELATION,CORE,libai,,,
relation_libai_enemy,干掉李白,RELATION,HATE,libai,,,
lilinfu_student,右相门生,,,,,,
kuangda_kuangke,狂客,,,,,,
kuangda_fengying,逢迎,,,,,,
kuangda_zuanying,钻营,,,,,,
disease_dongshang_frostbite,冻伤初起,DISEASE,ACUTE,,,,
disease_dongshang_necrosis,冻疮坏死,DISEASE,CHRONIC,,,,
near_death_mind_broken,心智破损,,,,,,
poisoned,中毒,DISEASE,,,,prop_sub(name=health; val=15),,
sprained_ankle,崴脚,,,,,,,
exhaustion_initial,疲态初显,,,,,,,疲
terminal_illness,病入膏肓,,,,,,,病
