row_type,uuid,context,requirements,title,description,on_enter,results,interruptions,template,provider
random_event,event_disease_fenghan_diagnosis,weight=100|era=1_core_rules,,EVT_EVENT_DISEASE_FENGHAN_DIAGNOSIS_TITLE,EVT_EVENT_DISEASE_FENGHAN_DIAGNOSIS_DESC,,,,
>option,,,,,EVT_EVENT_DISEASE_FENGHAN_DIAGNOSIS_OPT0_DESC,,prop_add(name=sick; val=10) | prop_sub(name=health; val=10),,,
>option,,,,,EVT_EVENT_DISEASE_FENGHAN_DIAGNOSIS_OPT1_DESC,,prop_sub(name=sick; val=5) | prop_add(name=health; val=5),,,
>option,,,,,EVT_EVENT_DISEASE_FENGHAN_DIAGNOSIS_OPT2_DESC,,,,,,
random_event,event_disease_shiyi_diagnosis,weight=100|era=1_core_rules,,EVT_EVENT_DISEASE_SHIYI_DIAGNOSIS_TITLE,EVT_EVENT_DISEASE_SHIYI_DIAGNOSIS_DESC,,,,
>option,,,,,EVT_EVENT_DISEASE_SHIYI_DIAGNOSIS_OPT0_DESC,,prop_add(name=drunk; val=30) | emo_add(name=SORROW; val=15),,,
>option,,,,,EVT_EVENT_DISEASE_SHIYI_DIAGNOSIS_OPT1_DESC,,prop_sub(name=health; val=5) | emo_add(name=SORROW; val=10),,,
>option,,,,,EVT_EVENT_DISEASE_SHIYI_DIAGNOSIS_OPT2_DESC,,,,,,
random_event,event_disease_zhanwang_crazy,weight=100|era=1_core_rules,,EVT_EVENT_DISEASE_ZHANWANG_CRAZY_TITLE,EVT_EVENT_DISEASE_ZHANWANG_CRAZY_DESC,,,,
>option,,,,,EVT_EVENT_DISEASE_ZHANWANG_CRAZY_OPT0_DESC,,prop_sub(name=health; val=15) | prop_add(name=prestige; val=5),,,
>option,,,,,EVT_EVENT_DISEASE_ZHANWANG_CRAZY_OPT1_DESC,,prop_sub(name=health; val=5) | prop_sub(name=prestige; val=3),,,
>option,,,,,EVT_EVENT_DISEASE_ZHANWANG_CRAZY_OPT2_DESC,,,,,,
random_event,event_disease_bridge_fenghan,trigger_tags=[actor:health:sickAcute]|weight=100|era=1_core_rules,prop_gt(name=sick; val=50),EVT_EVENT_DISEASE_BRIDGE_FENGHAN_TITLE,EVT_EVENT_DISEASE_BRIDGE_FENGHAN_DESC,,,,
>option,,,,,EVT_EVENT_DISEASE_BRIDGE_FENGHAN_OPT0_DESC,,prop_sub(name=money; val=8) | trait_add(name=disease_fenghan_acute),,,
>option,,,,,EVT_EVENT_DISEASE_BRIDGE_FENGHAN_OPT1_DESC,,prop_add(name=sick; val=15) | prop_sub(name=health; val=10),,,
random_event,event_disease_bridge_shiyi,trigger_tags=[actor:mental:depression]|weight=100|era=1_core_rules,prop_gt(name=sick; val=30) & emo_gt(name=SORROW; val=40),EVT_EVENT_DISEASE_BRIDGE_SHIYI_TITLE,EVT_EVENT_DISEASE_BRIDGE_SHIYI_DESC,,,,
>option,,,,,EVT_EVENT_DISEASE_BRIDGE_SHIYI_OPT0_DESC,,prop_sub(name=money; val=5) | trait_add(name=disease_shiyi_depression),,,
>option,,,,,EVT_EVENT_DISEASE_BRIDGE_SHIYI_OPT1_DESC,,emo_add(name=SORROW; val=15) | prop_add(name=burnout; val=10),,,
random_event,event_disease_fenghan_cough,trigger_tags=[actor:health:sickAcute]|weight=10|era=1_core_rules,,EVT_EVENT_DISEASE_FENGHAN_COUGH_TITLE,EVT_EVENT_DISEASE_FENGHAN_COUGH_DESC,,,,
>option,,,,,EVT_EVENT_DISEASE_FENGHAN_COUGH_OPT0_DESC,,prop_sub(name=health; val=5) | prop_add(name=fatigue; val=10),,,
>option,,,,,EVT_EVENT_DISEASE_FENGHAN_COUGH_OPT1_DESC,,prop_sub(name=sick; val=5) | prop_sub(name=money; val=2),,,
random_event,event_disease_feilao_hemoptysis,trigger_tags=[actor:health:sickChronic]|weight=10|era=1_core_rules,,EVT_EVENT_DISEASE_FEILAO_HEMOPTYSIS_TITLE,EVT_EVENT_DISEASE_FEILAO_HEMOPTYSIS_DESC,,,,
>option,,,,,EVT_EVENT_DISEASE_FEILAO_HEMOPTYSIS_OPT0_DESC,,prop_sub(name=money; val=10) | prop_add(name=health; val=5),,,
>option,,,,,EVT_EVENT_DISEASE_FEILAO_HEMOPTYSIS_OPT1_DESC,,prop_sub(name=health; val=-10),,,
