row_type,uuid,context,requirements,title,description,on_enter,results,interruptions,template,provider
random_event,ganlu_yizhan_xuwang,trigger_tags=[action:main:ganlu]|weight=10|era=755_backhome|store_to=755_backhome.ganlu|background=bg_rural_poor,,驿站的虚妄,风雪交加。你裹紧衣领，踩着没过脚踝的积雪，终于看见了官道旁那面褪色的驿旗。门缝里漏出一点昏黄的灯火，还有柴火噼啪的声响。你推开门——热气扑面，混着马粪和劣酒的酸味。驿丞从炭盆边抬起眼皮，目光在你那身湿透的绿袍上扫了一遍。他没站起来。,,,,
>option,,,,,从怀中取出那封从八品下的告身，双手递上,驿丞接过去，就着炭火的光看了一眼。然后他把告身搁在桌上，拿指甲弹了弹纸边，笑了——「嘶……右相府的马队，刚过去。里面全是往骊山送鲜果的。你这种……」他没把话说完，只是把告身推回来，又把手缩回袖子里烤火。你的告身上沾了一块炭灰。,,prop_sub(name=health; val=10) | emo_add(name=ANGER; val=10) | imagery_add(name=court:corrupt),,,
>option,,,,,从袖中摸出一串铜钱，搁在驿丞的桌角,驿丞的眼珠跟着铜钱转了一下。他没接，只是把下巴朝后院方向一努。「马厩那头还有块干草，牲口挤一挤，能腾个窝。」你推开后门，冷风夹着雪花灌进来。三匹马转头看你，眼睛里映着月光。草料堆确实冒着热气——那是马刚拉的。你靠着马肚子坐下，体温渐渐回来了。,,prop_sub(name=money; val=10) | prop_add(name=health; val=5),,,
random_event,ganlu_zhizhi_budejie,trigger_tags=[action:main:ganlu]|weight=10|era=755_backhome|store_to=755_backhome.ganlu|background=bg_rural_poor,,指直不得结,河面结了冰，白惨惨地横在你面前。你踩上去试了试——冰层嘎吱响了一声，但没裂。走到河心的时候，风突然大了。不是吹过来的，是砸过来的——整片山风像一堵墙压在你背上，把你的腰带扯断了。衣袍呼地散开，冷气顺着脊梁骨灌进去。你低头看自己的手——十根手指冻得像十根红萝卜，指甲缝里渗着血丝。你试着捏住腰带的两头。指头弯不下去。弯不下去。你试了三次，第四次的时候指尖完全失去了知觉。风雪里你听到自己的牙齿在打架。你跪在冰面上，把腰带压在膝盖底下，用两只手掌夹住一头，再用牙咬住另一头——,,,,
>option,,,,,用冻僵的手强行打结,你跪在冰上，用牙齿咬着一头，手掌夹着另一头，一点一点地把腰带拽紧。每拽一下，指缝里的血就多渗出来一点。终于打了个死结——歪歪扭扭的，像蚯蚓爬过的痕迹。你站起来的时候膝盖已经和冰面粘在一起了，撕下来的时候带掉了一块皮。你低头看自己的手指——十根手指全部冻成了紫色。你知道这不是普通的冻疮。这冻到骨头里去了。,,prop_sub(name=health; val=20) | emo_add(name=SORROW; val=5) | trait_add(name=disease_dongshang_frostbite) | imagery_add(name=environment:snow) | imagery_add(name=environment:wind),,,
random_event,ganlu_liumin_nianya,trigger_tags=[action:main:ganlu]|weight=10|era=755_backhome|store_to=755_backhome.ganlu|background=bg_rural_poor,,被碾压的流民,官道上突然传来一阵急如骤雨的马蹄声。你下意识往路边闪——七八匹马从你面前掠过，马背上的人穿着锦缎，马鞍上挂着金铃。最后一匹马的鞍后绑着一只木箱，箱缝里往外渗着腥咸的水——是海鲜。往华清宫送的。马队已经过去了，官道上扬起一片雪雾和泥浆。然后你看到了那个人。他趴在道边的沟里，一条腿不自然地弯着——刚才被马撞下去的。他的手指还保持着抓爬的姿势，指甲里全是泥。他不动了。沟里的雪正在慢慢把他盖住。,,,,
>option,,,,,摸黑下沟救人,你抓着沟边的枯草往下滑。沟底比上面冷得多，冷气从地面的冻土里往上冒。你把他翻过来——一张灰白的脸，嘴唇已经变成了青色。你摸了摸他的脖子——脉搏没了。你蹲在沟底，看着这个你不认识的流民的脸。雪落在他的眉毛上，落在他张着的嘴里。你浪费了半个时辰和一半的体力，什么都没改变。你从沟里爬上来的时候，天已经黑透了。,,prop_sub(name=health; val=8) | prop_add(name=fatigue; val=10) | emo_add(name=SORROW; val=10) | imagery_add(name=society:famine),,,
>option,,,,,麻木地走开,你站在沟边看了他一会儿。然后你转回身，继续走你的路。身后的马蹄声已经远得听不见了。雪落下来，落在你肩膀的补丁上，落在沟里那个人的背上。你知道明天雪会把他盖得严严实实，就像什么都没发生过。你继续走。你的脚步在雪地上踩出一串坑。每个坑之间的间距完全一样。你走得很稳。,,emo_add(name=SORROW; val=3),,,
random_event,ganlu_lvpao_zuzhou,trigger_tags=[action:main:ganlu]|weight=10|era=755_backhome|store_to=755_backhome.ganlu|background=bg_rural_poor,,绿袍的诅咒,天快黑的时候你停下来歇脚。你低头看自己身上那件绿色的官袍——那身从八品下的绿色丝帛，朝廷春天刚发的。在长安的时候，这身绿袍让你挺直了腰杆走路。现在它贴在身上，吸满了雪水，硬邦邦的，像裹了一层冰做的铠甲。每走一步，袍角就撞一下你的小腿——不是布料的声音，是冰片撞冰片的声音。你伸手扯了扯领口。丝帛在零下二十度里变成了玻璃——咔嚓一声，领口裂了一道口子。你不确定是该脱掉它，还是裹紧它。,,,,
>option,,,,,脱下官服，换上包袱里的破棉袄,你把那身绿袍脱下来，叠好——或者说折好，因为冻得太硬根本叠不动。你从包袱底翻出那件跟了你十年的灰布棉袄。棉絮从破洞里钻出来，像老头子的胡须。你把它裹在身上——不暖和，但不至于冻死。绿袍被你卷起来夹在腋下。看着那一卷冻僵的绿色丝帛，你忽然想——在长安的时候，你引以为傲的，原来就是这玩意儿。,,prop_add(name=health; val=3),,,
>option,,,,,裹紧官服死撑,你把领口裹得更紧。那块裂开的冰片扎进你的脖子，凉得你一激灵。但你咬牙忍住了。这是朝廷发的官服——你靠它走进过右相府的大门，靠它在集贤院里被人叫过一声「杜待制」。脱了它，你是什么？你裹着那身冰甲继续走。每一步都比上一步更沉——衣服在吸更多的雪水，冻得更硬。你的体温在下降，但你告诉自己：这是体面。体面不能丢。,,prop_sub(name=health; val=8) | prop_add(name=sick; val=5),,,
random_event,ganlu_yedian_jianshang,trigger_tags=[action:main:ganlu]|weight=10|era=755_backhome|store_to=755_backhome.ganlu|background=bg_rural_poor,,野店奸商,路边一间歪歪斜斜的茅草棚子，门口挑着个酒旗，旗上的字被雪糊了大半。你掀开门帘进去。一个干瘦的老头正趴在柜台上打盹，听见脚步声抬起一只眼。你问他有没有生麦子。他伸出三根手指。然后他想了想，又多伸了一根。长安的粮价你心里门清——这里的价钱是长安的三倍。你摸了摸袖袋。只有几个铜板，买得起两斗，不够塞满两个孩子一夜的肚子。老头把那只眼睁得更大，看着你摸钱袋的手。他什么都没说，只是把秤盘往前推了半寸。秤砣在绳子上晃了一下。你站着。他等着。,,,,
>option,,,,,掏出最后几枚铜板，买了那两斗生麦,你把铜板一个一个排在柜台上。老头用一根手指把铜板扫进抽屉，然后转身从麻袋里舀了——两斗。每一斗都刮得平平的，一粒不多。他把布袋推给你。布袋很轻。你拎着那袋生麦走出棚子的时候，雪又下大了。你低头看袋子里的麦子——有几粒发霉的。你把发霉的拣出来，手指又冻得通红。剩下的，勉强够孩子们吃两夜。两夜。奉先县还在两百里外。,,prop_sub(name=money; val=5) | emo_add(name=ANGER; val=10) | imagery_add(name=society:famine),,,
random_event,ganlu_anlushan_yingzi,trigger_tags=[action:main:ganlu]|weight=10|era=755_backhome|store_to=755_backhome.ganlu|background=bg_court_dark,,安禄山的影子,天色灰蒙蒙的，你远远看见官道边蹲着几个人。走近了才看清——三个汉子，脸上有刀疤，穿着破烂的皮袄。他们听到你的脚步声，抬起头。其中一个吐了口唾沫，用范阳口音说了句什么，另外两个笑了起来。你看了一眼他们的腰间——刀鞘磨得发亮，刃口上有一圈暗红色的锈。那不是锈。你加快了脚步，想从他们身边绕过去。但一只手已经拽住了你的包袱。那个脸上带刀疤的站起来，比你高半个头。他闻了闻——不是闻包袱，是闻你。然后他笑了，露出被烟熏黄的牙。他说了一句你听不太懂的范阳话，但语气让你后背发凉。他把你包袱里的干粮全翻了出来。你看着他蹲在地上，把你的麦饼掰成两块，分给旁边两个人。他们吃得很慢。刀疤脸抬起头看了你一眼——不是看你的眼睛，是看你身上那件绿袍。他把最后一块麦饼塞进嘴里，从牙缝里挤出几个字：「走。」你走了。你走出十几步的时候，听到身后传来一句带着胡音的哼唱——那调子让你后脊梁发麻。不是因为它难听，是因为那是军歌。,,,,
>option,ganlu_anlushan_yingzi_opt1,,,,干粮被抢，你只能站在原地，看着他们咀嚼你的食物,包袱空了。你站着，风把空包袱布吹得啪啪响。那三个人的背影越来越远，你听到其中一个又哼起了那首军歌。你不认识那个调子，但你记住了它。你站在原地很久。然后你低下头，继续往前走。肚子在叫。雪还在下。,,prop_sub(name=money; val=8) | prop_sub(name=health; val=5) | emo_add(name=ANGER; val=10) | imagery_add(name=court:corrupt),,,
random_event,ganlu_xuezhong_qiying,trigger_tags=[action:main:ganlu]|weight=10|era=755_backhome|store_to=755_backhome.ganlu|background=bg_rural_poor,,雪中弃婴,风里有声音。你停下来——不是风的声音，不是树枝折断的声音，是哭声。很弱，断断续续，像小猫在叫。你循着声音走到路边一棵枯树下面。树根旁有一个雪堆。哭声从雪堆里面传出来。你的呼吸忽然变快了——你蹲下去，两只手开始挖。雪很厚，挖到下面的时候指甲缝里全是冰碴。然后你的手指碰到了一个东西——软的。你把它刨出来——一个襁褓。打开襁褓，里面是一个婴儿。不是你的孩子。不是你奉先县家里的任何一个孩子。是一个你不认识的孩子。已经冻紫了。嘴唇紫的，指尖紫的，眼皮紫的——他闭着眼睛，像睡着了一样。但你摸了摸他的脚心——冰凉的，硬的。你把他放在雪地上，看着他。雪花落在他紫色的脸颊上，不融化。你想起家里还等着你回去的两个孩子。你站起来的时候膝盖在发抖——不是因为冷。,,,,
>option,ganlu_xuezhong_qiying_opt1,,,,跪在雪地里，把这个陌生的孩子重新裹好,你跪下去，把襁褓裹得比刚才更紧。你不认识他。他甚至已经不在了。但你还是把他裹得整整齐齐，放在枯树根旁边——风最小的地方。你站起来，转过身，继续走。你走了很远，远到回头看不见那棵枯树。但那个哭声还在你耳朵里。不是真的哭声——是你脑子里的。你知道从今天起，只要再听到婴儿哭，你的腿就会软。奉先县还有两百里。家里有两个孩子在等你。你加快了脚步。,,prop_sub(name=health; val=3) | emo_add(name=SORROW; val=20) | imagery_add(name=emotion:despair) | imagery_add(name=environment:snow),,,
